epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.6946,2.67414,9.42465,2.23647,0.00106,0.53846,0.00086,0.00041,1.94364,8.35919,1.35819,0.0003,0.0003,0.0003
2,131.557,2.12195,11.3995,1.68506,0.00136,0.69231,0.00133,0.00051,1.77495,7.31079,1.40101,0.000604655,0.000604655,0.000604655
3,196.056,2.07166,9.21023,1.80815,0,0,0,0,2.27037,8.33122,2.48872,0.00089347,0.00089347,0.00089347
4,260.631,1.93658,6.9121,1.83412,0.00015,0.07692,9e-05,3e-05,2.19203,8.14827,2.31616,0.00116645,0.00116645,0.00116645
5,329.892,1.86267,6.30252,1.59022,0.00076,0.38462,0.00054,0.00019,1.84618,6.82874,1.69319,0.00142358,0.00142358,0.00142358
6,395.045,1.83596,6.6151,1.55091,0.1262,0.30769,0.16656,0.03709,1.85352,5.79234,1.35401,0.00166487,0.00166487,0.00166487
7,465.003,1.70801,5.52058,1.50482,0.00199,0.61538,0.24176,0.08313,1.76346,6.25606,1.51747,0.001703,0.001703,0.001703
8,535.186,1.75047,5.71112,1.61799,0.00152,0.76923,0.03484,0.00874,1.79968,5.67926,1.76716,0.0016535,0.0016535,0.0016535
9,604.93,1.82218,5.66833,1.5833,0.10709,0.23077,0.14225,0.0621,1.65236,4.78,1.63486,0.001604,0.001604,0.001604
10,673.656,1.53487,5.83136,1.47734,0.00136,0.69231,0.18307,0.07172,1.94268,5.39105,1.68651,0.0015545,0.0015545,0.0015545
11,740.079,1.5231,4.91678,1.44075,0.00152,0.76923,0.17536,0.08698,1.80631,4.99302,1.57763,0.001505,0.001505,0.001505
12,807.827,1.46361,4.44419,1.44844,0.47904,0.15385,0.25491,0.13143,1.64787,4.31842,1.5793,0.0014555,0.0014555,0.0014555
13,874.061,1.56275,4.26349,1.42785,0.72042,0.30769,0.42423,0.2464,1.56719,3.94747,1.55036,0.001406,0.001406,0.001406
14,941.214,1.53956,4.33587,1.53083,0.71619,0.19956,0.4923,0.2639,1.30446,3.68361,1.42851,0.0013565,0.0013565,0.0013565
15,1011.37,1.44817,3.89548,1.46433,0.90524,0.30769,0.47407,0.22024,1.57754,3.69748,1.56626,0.001307,0.001307,0.001307
16,1082.4,1.54893,3.4189,1.45141,0.80673,0.32323,0.45587,0.29788,1.24925,3.34047,1.37498,0.0012575,0.0012575,0.0012575
17,1151.88,1.51377,3.61723,1.47564,0.88267,0.38462,0.47059,0.30682,1.26643,3.58148,1.33116,0.001208,0.001208,0.001208
18,1224.11,1.54885,3.53745,1.53009,0.88338,0.46154,0.5389,0.27733,1.67241,3.51483,1.75914,0.0011585,0.0011585,0.0011585
19,1291.34,1.30766,3.34541,1.35602,0.88394,0.46154,0.5486,0.35628,1.35641,2.96971,1.46557,0.001109,0.001109,0.001109
20,1358.46,1.26661,3.1562,1.32874,0.65403,0.4382,0.51851,0.3647,1.15018,3.04689,1.26526,0.0010595,0.0010595,0.0010595
21,1425.66,1.22201,2.604,1.30856,0.48357,0.61538,0.50936,0.34196,1.15094,3.00934,1.29832,0.00101,0.00101,0.00101
22,1493.77,1.14904,2.76287,1.19492,0.61108,0.53846,0.61963,0.44114,1.1007,2.72387,1.26867,0.0009605,0.0009605,0.0009605
23,1561.12,1.21349,2.40044,1.2167,0.93546,0.46154,0.62725,0.44348,1.14941,2.48794,1.31835,0.000911,0.000911,0.000911
24,1626.95,1.24761,2.79841,1.24506,0.59417,0.46154,0.57595,0.3907,1.12412,2.7786,1.24296,0.0008615,0.0008615,0.0008615
25,1692.97,1.2248,2.86966,1.2531,0.89862,0.46154,0.60843,0.46638,0.92882,2.33577,1.14137,0.000812,0.000812,0.000812
26,1758.68,1.25534,2.41967,1.31349,0.90806,0.46154,0.59698,0.40678,1.09499,2.37762,1.29795,0.0007625,0.0007625,0.0007625
27,1825.8,1.16674,2.04835,1.25821,0.59289,0.46154,0.55574,0.45982,0.88711,2.30914,1.17565,0.000713,0.000713,0.000713
28,1893.67,1.44746,3.69769,1.25579,0.9113,0.46154,0.60727,0.52146,0.97522,2.73908,1.15919,0.0006635,0.0006635,0.0006635
29,1964.59,1.03136,2.60408,1.09888,0.9645,0.53846,0.61912,0.52265,0.9412,2.58777,1.15696,0.000614,0.000614,0.000614
30,2034.17,0.95508,2.34485,1.1174,0.96738,0.53846,0.65018,0.52425,0.96081,2.2023,1.22305,0.0005645,0.0005645,0.0005645
31,2134.4,1.01401,2.66119,1.20297,0.68364,0.6663,0.6596,0.54509,0.95056,2.18959,1.25543,0.000515,0.000515,0.000515
32,2223.35,1.04661,2.74328,1.25724,0.61856,0.76923,0.63375,0.53691,0.90524,2.17279,1.24662,0.0004655,0.0004655,0.0004655
33,2290.84,0.98365,2.64254,1.18466,0.61966,0.76923,0.64352,0.53945,0.91736,2.06853,1.27027,0.000416,0.000416,0.000416
34,2356.72,1.03773,3.53642,1.1659,0.66474,0.6105,0.65151,0.54305,0.97199,2.07756,1.30521,0.0003665,0.0003665,0.0003665
35,2423.48,0.93163,2.62075,1.1035,0.67312,0.69231,0.65152,0.52049,1.02113,1.94411,1.32273,0.000317,0.000317,0.000317
36,2488.74,0.78026,2.36539,0.99592,0.72571,0.69231,0.67772,0.55532,0.99494,1.95857,1.30425,0.0002675,0.0002675,0.0002675
